"Reference","Value","Qty","DNP","Mfr","Mfr P/N","Supplier_1","Supplier_1 P/N","Supplier_1 Unit Price","Supplier 1","Supplier 1 P/N","Supplier 1 Price @ Qty"
"C2,C4","22pF","2","","KEMET","C0603C220K4GAC7867","Digikey","399-C0603C220K4GAC7867CT-ND","0.10","","",""
"C3,C5,C6,C8,C13","10ÂµF","5","","Samsung Electro-Mechanics","CL21A106KOQNNNE","Digikey","1276-1096-1-ND","0.10","","",""
"C7,C10,C11,C12,C14,C15","1uF","6","","YAGEO","CC0603KRX7R7BB105","Digikey","311-1446-1-ND","0.10","","",""
"CHG1","ORANGE","1","","Harvatek Corporation","B1701UD--20D000414U1930","Digikey","3147-B1701UD--20D000414U1930CT-ND","0.10","","",""
"D4","MBR120","1","","onsemi","MBR120LSFT1G","Digikey","MBR120LSFT1GOSCT-ND","0.42","","",""
"J1","-- mixed values --","1","","-- mixed values --","-- mixed values --","","","","DigiKey","-- mixed values --","-- mixed values --"
"J2","Conn_01x04","1","","Hirose Electric Co Ltd","DF52-4S-0.8H(21)","","","","DigiKey","H125098CT-ND",".34"
"J4","Conn_01x06_Pin","1","","Sullins Connector Solutions","PPTC061LFBN-RC","","","","Digikey","S7004-ND",".61"
"J5,J7","Conn_01x05_Pin","2","","Sullins Connector Solutions","PPTC051LFBN-RC","","","","DigiKey","S6103-ND",".57"
"J6","~","1","","CNC Tech","3221-10-0100-00","","","","Digikey ","1175-1733-ND","0.71"
"L1","RED","1","","Lite-On Inc.","LTST-S220KRKT","Digikey","160-1469-1-ND","0.23","","",""
"L2","10uH","1","","Taiyo Yuden","LSQEA251818T100K","Digikey","587-LSQEA251818T100KCT-ND","0.13","","",""
"LED1","WS2812B3535","1","","DONGGUANG OPSCO OPTOELECTRONICS CO., LTD","SK6812MINI","Adafruit","2686","0.495","","",""
"Q3","DMP2070UQ-7","1","","Diodes Incorporated","DMP2070UQ-7","Digikey","31-DMP2070UQ-7CT-ND","0.48","","",""
"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24","0 R","16","","Samsung Electro-Mechanics","RC1005J000CS","","","","DigiKey","1276-3480-1-ND","0.029"
"R2","1K","1","","Vishay Beyschlag/Draloric/BC Components","MCT06030C1001FP500","Digikey","MCT0603-1.00K-CFCT-ND","0.10","","",""
"R3,R4,R5,R6,R8","10K","5","","Stackpole Electronics Inc","RNCP0603FTD10K0","Digikey","RNCP0603FTD10K0CT-ND","0.10","","",""
"R7","2.2K","1","","TE Connectivity Passive Product","CRGH0603F2K2","Digikey","A129540CT-ND","0.10","","",""
"R9","100K","1","","Bourns Inc.","CAY16-1003F4LF","Digikey","CAY16-1003F4LFCT-ND","0.10","","",""
"RN1,RN2","R_Pack04_SIP","2","","-- mixed values --","YC164-JR-0747KL","","","","DigiKey","YC164J-47KCT-ND",".10"
"S1,S2,S3,S4","PRT-14460","4","","-- mixed values --","PRT-14460","","","","DigiKey","1568-1757-ND","1.75"
"SW1","KMR2","1","","C&K","KMR241NG ULC LFS","Digikey","CKN10285CT-ND","0.92","","",""
"U$1","ATSAMD51J19A-AUT","1","","Microchip Technology","ATSAMD51J19A-AUT","Digikey","ATSAMD51J19A-AUTCT-ND","5.68","","",""
"U1","2MB Flash","1","","GigaDevice Semiconductor (HK) Limited","GD25Q16ETIGR","Digikey","1970-GD25Q16ETIGRCT-ND","0.74","","",""
"U2","AP2112-3.3","1","","Diodes Incorporated","AP2112K-3.3TRG1","Digikey","AP2112K-3.3TRG1DICT-ND","0.35","","",""
"U3","MCP73831T-2ACI/OT","1","","Microchip Technology","MCP73831T-2ATI/OT","Digikey","MCP73831T-2ATI/OTCT-ND","0.76","","",""
"X1","JSTPH","1","","JST Sales America Inc.","S2B-PH-SM4-TB","Digikey","455-S2B-PH-SM4-TBCT-ND","0.58","","",""
"X2","32.768 kHz","1","","NDK America, Inc.","STDMUA17-32.768K","Digikey","644-STDMUA17-32.768KCT-ND","1.02","","",""
"X3","microUSB 2.0 B","1","","Amphenol ICC (FCI)","10118194-0001LF","Digikey","609-4618-1-ND","0.57","","",""
